Model,Seed,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,F1,AUROC,Epoch_time
SteerableGCNN_Adam_lr0.01_wd0.0,42,11,0.3375,0.4342,0.8536,0.8138,0.8169,0.8919,45.49
SteerableGCNN_Adam_lr0.01_wd0.0,42,12,0.3242,0.5321,0.8611,0.7766,0.7332,0.8932,45.44
SteerableGCNN_Adam_lr0.01_wd0.0,42,13,0.3304,0.4837,0.8586,0.7868,0.7658,0.8707,45.44
SteerableGCNN_Adam_lr0.01_wd0.0,42,14,0.3189,0.435,0.8664,0.8139,0.8089,0.8888,45.44
SteerableGCNN_Adam_lr0.01_wd0.0,42,15,0.3159,0.664,0.8646,0.7422,0.6688,0.8904,45.46
SteerableGCNN_Adam_lr0.01_wd0.0,42,16,0.3105,0.4297,0.8679,0.8108,0.8163,0.8912,45.44
SteerableGCNN_Adam_lr0.01_wd0.0,42,17,0.3149,0.4783,0.866,0.7916,0.7639,0.8874,45.44
SteerableGCNN_Adam_lr0.01_wd0.0,42,18,0.3012,0.4649,0.8715,0.8063,0.8172,0.8969,45.44
SteerableGCNN_Adam_lr0.01_wd0.0,42,19,0.3019,0.499,0.8715,0.7871,0.7999,0.8797,45.46
SteerableGCNN_Adam_lr0.01_wd0.0,42,20,0.2983,0.6418,0.8761,0.7496,0.682,0.8858,45.46
SteerableGCNN_Adam_lr0.01_wd0.0,42,21,0.2994,0.4842,0.8748,0.7894,0.8016,0.881,45.38
SteerableGCNN_Adam_lr0.01_wd0.0,42,22,0.2953,0.4851,0.8763,0.7947,0.7667,0.89,45.43
SteerableGCNN_Adam_lr0.01_wd0.0,42,23,0.2885,0.5702,0.8806,0.7872,0.7498,0.8987,45.43
SteerableGCNN_Adam_lr0.01_wd0.0,42,24,0.2939,0.4487,0.8786,0.8105,0.8088,0.8901,45.43
SteerableGCNN_Adam_lr0.01_wd0.0,42,25,0.2967,0.5849,0.8752,0.7599,0.7125,0.8654,45.48
SteerableGCNN_Adam_lr0.01_wd0.0,42,26,0.2931,0.4968,0.8799,0.774,0.7834,0.8673,45.43
SteerableGCNN_Adam_lr0.01_wd0.0,42,27,0.2936,0.6823,0.8746,0.7246,0.636,0.8663,45.45
SteerableGCNN_Adam_lr0.01_wd0.0,42,28,0.3111,0.4677,0.8674,0.795,0.808,0.8864,45.44
SteerableGCNN_Adam_lr0.01_wd0.0,42,29,0.3016,1.0005,0.8735,0.6457,0.454,0.8928,45.46
SteerableGCNN_Adam_lr0.01_wd0.0,42,30,0.2987,0.4489,0.876,0.8072,0.7869,0.8971,45.51
SteerableGCNN_Adam_lr0.01_wd0.0,15,1,0.4672,0.77,0.777,0.6666,0.7357,0.8156,26.59
SteerableGCNN_Adam_lr0.01_wd0.0,15,2,0.433,0.5571,0.7994,0.7273,0.775,0.8773,26.57
SteerableGCNN_Adam_lr0.01_wd0.0,15,3,0.4111,0.4537,0.8092,0.8012,0.8023,0.8793,26.61
SteerableGCNN_Adam_lr0.01_wd0.0,15,4,0.4063,0.4612,0.8128,0.7835,0.7993,0.8734,26.6
SteerableGCNN_Adam_lr0.01_wd0.0,15,5,0.3983,0.4685,0.8185,0.7911,0.8128,0.8879,26.55
SteerableGCNN_Adam_lr0.01_wd0.0,15,6,0.3899,0.4534,0.8236,0.7984,0.7979,0.8802,26.59
SteerableGCNN_Adam_lr0.01_wd0.0,15,7,0.3893,0.4272,0.8232,0.8045,0.8096,0.8871,26.61
SteerableGCNN_Adam_lr0.01_wd0.0,15,8,0.3853,0.4355,0.8258,0.8024,0.8083,0.8848,26.58
SteerableGCNN_Adam_lr0.01_wd0.0,15,9,0.3871,0.4467,0.8242,0.8024,0.806,0.882,26.6
SteerableGCNN_Adam_lr0.01_wd0.0,15,10,0.3819,0.5298,0.8279,0.7791,0.748,0.8788,26.56
SteerableGCNN_Adam_lr0.01_wd0.0,15,11,0.3793,0.4637,0.8293,0.7984,0.7848,0.8856,26.53
SteerableGCNN_Adam_lr0.01_wd0.0,15,12,0.375,0.4382,0.8315,0.7998,0.8106,0.8861,26.62
SteerableGCNN_Adam_lr0.01_wd0.0,15,13,0.3706,0.4919,0.8329,0.7841,0.7553,0.8859,26.62
SteerableGCNN_Adam_lr0.01_wd0.0,15,14,0.3713,0.5157,0.8321,0.7622,0.7908,0.8757,26.53
SteerableGCNN_Adam_lr0.01_wd0.0,15,15,0.3729,0.5954,0.8313,0.7471,0.6874,0.8871,26.58
